instrument,Name,sector,mktval,size,ER,Vol,Sharpe
US0494681010,Atlassian Corp,45,40463.36998242,large,17.10765509940845,23.293487096431353,0.7344394177044195
US69608A1088,Palantir Technologies Inc,45,402520.87193759996,large,12.61756893542374,18.538930926655077,0.6805985191563735
US70432V1026,Paycom Software Inc,20,8699.60235331,large,9.42951674165945,14.255393022685723,0.6614701346117586
US64110D1046,NetApp Inc,45,40442.67051084,large,7.246543484645331,11.342427751884157,0.6388882206846382
US0090661010,Airbnb Inc,25,109418.6043374,large,5.78294004288957,9.087919803776014,0.6363326446264159
US9892071054,Zebra Technologies Corp,45,17666.03640437,large,8.56252875120817,13.54430824845683,0.6321864944401085
US91332U1016,Unity Software Inc,45,17271.480040500002,large,12.68952657309157,20.712131725747618,0.6126615425739589
US5949181045,Microsoft Corporation,45,3675693.1804839997,large,6.1981539299472,10.159310322926025,0.610095934953392
NL0013056914,Elastic NV,45,7809.940294159999,large,9.16798910722137,15.047084316061389,0.6092867504859648
KYG8068L1086,Sharkninja Inc,25,13040.111080080002,large,7.53803017706796,12.521050365031888,0.6020285804551799
US1271903049,CACI International Inc,20,14601.98659422,large,7.484442651473221,12.66680697239611,0.5908705064965105
US98138H1014,Workday Inc,45,48706.3861145,large,8.382635452010451,14.306353024321602,0.5859379701982399
US7811541090,Rubrik Inc,45,20315.414289959997,large,10.54128524980428,18.681052695781066,0.5642768328673966
CA1130041058,BROOKFIELD ASSET MANAGEMENT LTD,40,20707.17930028,large,4.04557479686832,7.3216115286094805,0.5525525058329139
US8334451098,Snowflake Inc,45,108868.9918596,large,10.87291924027848,19.77470846731044,0.5498396731487848
US5627501092,"Manhattan Associates, Inc.",45,11338.535499279998,large,6.972493411668671,12.881790054114981,0.5412674311860382
BMG491BT1088,Invesco Ltd,40,11653.05363406,large,3.99199109571226,7.404186478167886,0.5391532354679498
US9224751084,Veeva Systems Inc,35,36184.90810965001,large,6.73727825529507,12.97329985519453,0.5193187801480942
US9427491025,"Watts Water Technologies, Inc.",20,12691.8974007,large,3.28706435002025,6.351971432278774,0.5174872691203231
US6323071042,Natera Inc,35,43027.4282354,large,6.5158719544244095,12.597655592031597,0.5172289325440758
US65473P1057,NiSource Inc.,55,20328.3290013,large,-2.8512784808925598,5.310907991624905,-0.5368721290952347
US23345M1071,DT Midstream Inc,10,13915.766420789998,large,-3.30696652709723,6.191681351430082,-0.5340983069701133
US15189T1079,"CenterPoint Energy, Inc.",55,26778.473670850002,large,-2.32584929087743,4.743288088079391,-0.4903453569945805
CA74935Q1072,RB Global Inc,20,15586.676603550002,large,-4.1996392820237896,8.655824716653512,-0.48518072159476916
US7588491032,Regency Centers Corp,60,13944.92064957,large,-2.02172307976678,4.857717607592389,-0.41618785674303505
US36467J1088,Gaming and Leisure Properties Inc,60,12126.2191615,large,-2.13396645874584,5.151303817658694,-0.41425754222272676
US45784P1012,Insulet Corp,35,9880.161024109999,large,-3.6967348508880997,8.958854176031142,-0.4126347832269091
US2810201077,Edison International,55,27424.738277800003,large,-2.93947085714757,7.199464313883209,-0.4082902184096102
US8168511090,Sempra,55,56441.911185000004,large,-2.5274308007008797,6.260461608098127,-0.4037131698773712
US49456B1017,Kinder Morgan Inc,10,63766.27109493,large,-2.48598940811826,6.183996952603059,-0.4020036599584385
US0255371017,American Electric Power Company Inc,55,68349.3097575,large,-2.4344796805620397,6.150978733294068,-0.3957873675265154
US92939U1060,WEC Energy Group Inc,55,35955.51148215999,large,-1.9473927247763998,4.938513685136505,-0.3943276963345242
US11120U1051,Brixmor Property Group Inc,60,9131.57257677,large,-2.2672062496514997,5.770867425233656,-0.39287096420512607
US0236081024,Ameren Corporation,55,30267.4497279,large,-2.1004477466451803,5.388760279958342,-0.3897831110537761
US92936U1097,WP Carey Inc,60,16110.23759625,large,-2.0400797826086703,5.2899847832126525,-0.38564946142807477
US9037311076,UL Solutions Inc,20,15441.014367780002,large,-4.38131157881472,11.430704506908945,-0.3832932236299668
US1258961002,CMS Energy Corporation,55,22124.242132019997,large,-1.87470086228967,4.894793482356231,-0.38299897003769723
US02209S1033,Altria Group Inc,30,109566.1790981,large,-3.06932565851619,8.15459002423102,-0.37639239365753746
US3137451015,Federal Realty Investment Trust,60,10178.4902828,large,-1.97298037853882,5.256985398483075,-0.375306421643882
US0188021085,Alliant Energy Corp,55,18262.60023693,large,-1.90291713488471,5.134753506679651,-0.3705956152343556
